company_raw,company_name,is_staffing,company_id
Actalent,Actalent,True,0
OrangePeople,OrangePeople,False,1
ENTRUST Solutions Group,Entrust Solutions Group,False,2
CGI,Cgi Technologies And Solutions,False,3
The Devereux Foundation,The Devereux Foundation,False,4
Centene Corporation,Centene,False,5
UniFirst Corporation,UniFirst,False,6
Hallmark,Hallmark,False,7
Airbus,Airbus,False,8
"ScrumLink, Inc.",Scrumlink,False,9
SOC LLC,Mgc.Agency,False,10
DHL,Deutsche Post DHL Group,False,11
Southern California Edison,Southern California Edison,False,12
University Health,University Health,False,13
BRS,Grupo BRS,True,14
Accuro Group Inc,The Accuro Group,True,15
"UNITED WHOLESALE MORTGAGE, LLC",United Wholesale Mortgage,False,16
InnovitUSA,Unclassified,False,17
Portland General Electric,Portland General Electric,False,18
Global Applications Solutions,Global Applications Solutions,False,19
WPPplc,Unclassified,False,20
Eliassen Group,Eliassen Group,True,21
"TOP Consulting, Inc","Top Consulting Co., Ltd",False,22
Audacy,Audacy Corporation,False,23
AllianceBernstein,AllianceBernstein,False,24
US National Geospatial-Intelligence Agency,Va Group,False,25
Staffing Solutions Enterprises,Staffing Solutions Enterprises,True,26
"Alliance of Professionals & Consultants, Inc.",Alliance Of Professionals And Consultants,False,27
City of Overland Park,City Of Overland Park,False,28
Dal-Tile Corporation,Daltile Corp,False,29
"DMC Power, Inc.",Dmc Power,False,30
Farfield Systems,Farfield Systems,False,31
Fett Management,Fett Management,False,32
"Washington County, OR",Washington County,False,33
Motorola Solutions,Motorola Solutions,False,34
The Design5 Company Inc.,Unclassified,False,35
COX CORPORATE SERVICES INC,Cox Enterprise,False,36
HARIBO of America,Haribo Of America,False,37
"ONEOK, Inc.",Oneok,False,38
Strayer University,Strayer University,False,39
X2logicsstaffingsolution.cm,X2logicsstaffingsolution,True,40
Salt Lake County,Salt Lake County,False,41
Azure Summit Technology,Azure Summit Technology,False,42
Tailored Management,Tailored Management,True,43
Caliber Collision,Caliber Collision,False,44
American Greetings,American Greetings,False,45
Alten Technology USA,ALTEN,False,46
GOJO Industries,GOJO Industries,False,47
Manychat,Manychat,False,48
CIYIS LLC,Ciyis,False,49
Virginia Wesleyan University,Virginia Wesleyan University,False,50
Novartis AG,Novartis,False,51
Vertex IT Systems,Vertex IT Systems,False,52
Cyber Infotech,Cyber Infotech,False,53
"Apogee Integration, LLC",Apogee Integration,False,54
Massachusetts Technology Collaborative,Massachusetts Technology Collaborative,False,55
"Technical Intelligence Solutions, LLC",Technical Intelligence Solutions,False,56
Kamehameha Schools,Kamehameha Schools,False,57
"Swire Coca-Cola, USA",The Coca-Cola Company,False,58
T-Rex Solutions LLC,T-Rex Consulting Corporation,False,59
"Stericycle, Inc.",Stericycle,False,60
Ameresco,Ameresco,False,61
Aon,AON,False,62
DNA,Dna Agency,False,63
Veritiv Corporation,Veritiv,False,64
University of New Mexico,University of New Mexico,False,65
HF Management Services LLC,Hf Management Services,False,66
"HDR, Inc.",HDR,False,67
"Aqueduct Technologies, Inc.",Aqueduct Technologies,False,68
ANMIALHEALTHJOBS.COM,Unclassified,False,69
ShorePoint Health Port Charlotte,ShorePoint Health,False,70
MADISON PARKS,Madison Parks,False,71
Around Living Service Inc,Around Living Service,False,72
Venture Talent Consulting,Unclassified,False,73
"Hendrickson USA, L.L.C.",Hendrickson,False,74
"PJM Interconnection, L.L.C.",Pjm Interconnection,False,75
Sutter Valley Hospitals,Sutter Valley Hospitals,False,76
Extra Update,Unclassified,False,77
TRUGlobal,Truglobal,False,78
"Advantasure, Inc.",Advantasure,False,79
TIER4 GROUP,Tier4,False,80
DraftKings Inc.,DraftKings,False,81
American Nurses Association ANA,Unclassified,False,82
Dynamo Software,Dynamo Software,False,83
Surgical Care Affiliates SCA,Surgical Care Affiliates,False,84
UnitedHealth Group,UnitedHealth Group,False,85
PRIMUS GLOBAL SERVICES INC,Primus Global Services,False,86
Cleveland-Cliffs Inc.,Cliffs Natural Resources,False,87
TekShapers,Tekshapers,True,88
"Clinical Ink, Inc.",Clinical Ink,False,89
CORRY & ASSOCIATES,Donahue Corry Associates,False,90
Caesars Entertainment,Caesars Entertainment,False,91
Super Micro Computer Inc,Supermicro,False,92
narwal,Narwal,False,93
Third Horizon Strategies,Third Horizon Strategies,False,94
"MANAGEMENT SCIENCE ASSOCIATES, INC.",Management Science Associates,False,95
"Carson Group Holdings, LLC",Carson Wealth Management Group,False,96
RightStaff Technical Resources,Rightstaff,True,97
Richardson Sports,Richardson Sports,False,98
Disney Entertainment & ESPN Technology,Unclassified,False,99
Complex,Complex Corporation,False,100
"Sedgwick Sioux Falls, SD",Unclassified,False,101
Deluxe,Deluxe,False,102
Stellarwins,Stellarwins Solutions,False,103
Artsy,Artsy,False,104
GLEMCO,Glemco,False,105
Flowbird USA,Flowbird,False,106
Traba,Traba,True,107
Central Clinic Behavioral Health,Central Clinic Behavioral Health,False,108
CHIPTON ROSS INC.,Chipton Ross,True,109
Aorton Inc,Unclassified,False,110
Alerus Financial,Alerus,False,111
MetroPlusHealth,Metroplushealth,False,112
Bestica Inc,Bestica,False,113
CSIRA Design Build LLC,Csira Design Build,False,114
ROCKET LAB USA,Rocket Lab USA,False,115
Lutheran Social Services of Central Ohio,Lutheran Social Services Of Central Ohio,False,116
IT Data Solutions,It Data Solutions,False,117
State of Rhode Island Department of Labor and Training,Rhode Island Department Of Labor & Training,False,118
PSI Resources,Psi Resources,True,119
"Delta System & Software, Inc.",Delta System And Software.,False,120
St. Mary's Healthcare System for Children,St. Mary's Healthcare System For Children,False,121
"Ferguson Enterprises, LLC",Ferguson Enterprises,False,122
WIVERSE,Wiverse,False,123
Resource Innovations,Resource Innovations,False,124
Washington Health Benefit Exchange,Washington Health Benefit Exchange,False,125
Southern Glazer's Wine \u0026 Spirits,Unclassified,False,126
Analytic Services Inc,Analytic Services,False,127
Omaha Public Power District,Omaha Public Power District,False,128
Mackinnon & Partners,Mackinnon Partners Limited,False,129
H.D. Fowler Company,Hd Fowler,False,130
Jennison Associates LLC,Jennison Associates,False,131
Valence Surface Technologies,Valence Surface Technologies,False,132
National Marrow Donor Program,National Marrow Donor Program,False,133
US Bank,US Bank,False,134
Davenport University,Davenport University,False,135
Place USA,Place Corp,False,136
Obviant,Obviant,False,137
Zions First National Bank,Zions Bank,False,138
